Port_IDs,PnL,Sharpe Ratio,Max Drawdown (MDD),Win Rate (%),Total Positions,Win Positions,Score,Rank
4031181049693676544,4545.2423384,0.19969288019617207,-0.029178880486929515,24.17218543046358,302,73.0,1830.291280310152,41.0
4030395639953224449,4413.76154738,0.18302046102865124,-0.04788338751295218,17.479674796747968,492,86.0,1777.655460049658,42.0
3879821005658659073,4268.00656095,0.009382293437503002,-42.58664586138809,33.142201834862384,872,289.0,1742.733879435004,43.0
3878631538480067329,3921.23304116,0.16911240795940835,-0.2903857914851591,50.337958022056206,2811,1415.0,1720.1115417907993,44.0
3941019213896463617,4234.08779003,0.22020943089406142,-2.4350618973431084,49.107142857142854,112,55.0,1709.0226074126972,45.0
3932103299427844097,3860.30970535,0.11491168385114509,-7.609960868731805,30.050212437234453,2589,778.0,1627.9683981326025,46.0
4030626027667524352,3796.34803991,0.4984348682655157,-0.15339556871450644,49.78540772532189,233,116.0,1540.2458279695438,47.0
4016164457907769600,3742.68731972,0.40310074803154483,-7.479905437352246,43.53932584269663,712,310.0,1536.9037232809487,48.0
4013978721149559808,3778.87822398,0.46112464455861285,0.0,20.74829931972789,294,61.0,1521.9392868493132,49.0
3994879592543698688,3658.7650624,0.05897828947648828,-0.15688277533451545,55.283307810107196,653,361.0,1510.6803800088644,50.0
4029749871687083265,3662.13654822,0.7192341264765475,0.0,42.873831775700936,856,367.0,1510.3451558810832,51.0
3996598927198996481,3509.04461888,0.3778929719192243,-0.31080196506866586,36.8282600526118,2661,980.0,1509.0968674540982,52.0
4002413037164645377,3686.9697606,0.40063444892440897,-0.04657218257681306,18.57638888888889,576,107.0,1489.3233723524552,53.0
4037511388357114368,3552.34051692,0.3202229789254799,-2.289936338438409,43.33683105981112,953,413.0,1470.99963987364,54.0
3988071780777702657,3424.4699222,0.12594661440203356,-3.4026453856990373,37.316561844863735,2385,890.0,1466.2890652332935,55.0
4008804082027254529,3332.73345887,0.26099746174833705,-1.7889201770269603,54.051282051282044,975,527.0,1396.681939196781,56.0
4029299190618134272,3354.14587637,0.5101996185138137,-0.4811151219017491,31.30434782608696,230,72.0,1355.2722799987719,57.0
4030555430101054209,3358.38032001,0.5427176385034774,0.0,26.446280991735538,121,32.0,1352.0041994938983,58.0
3988205565930333696,3283.93800993,0.22402865826763305,-0.4295150062422419,38.00539083557952,371,141.0,1335.343490736596,59.0
4036548677626662656,3296.87667987,0.7341606244084794,0.0,46.25850340136054,147,68.0,1335.0226208155946,60.0
3957509601040585217,3174.1803667200006,0.31529236466887206,-15.468070778595633,26.954177897574123,1113,300.0,1305.1575699769157,61.0
4017323550554338817,3134.7351025,0.5929444148027095,0.0,50.091743119266056,545,273.0,1291.3902729482938,62.0
3993014919980212480,3078.66301039,0.37904880937263086,-0.22468447552413573,47.62589928057554,695,331.0,1274.204098654927,63.0
3887577207880438784,2417.51403674,0.09696922190241229,-0.6817660809437055,47.81818181818182,6050,2893.0,1265.8983418262071,64.0
4023697881318718465,3151.95061998,0.30381287465676976,0.0,8.571428571428571,70,6.0,1263.1856775686829,65.0
4031451549482615297,3124.54121527,0.679663201065627,-0.3599710775148308,38.59649122807017,114,44.0,1262.139683313934,66.0
3733192481840423936,2923.97719988,0.9647472129378234,-0.7603550322920547,80.2612481857765,689,553.0,1241.2325537530367,67.0
4006366295148391425,3018.5418057,0.31453728392209024,-0.7095418766339382,17.180616740088105,681,117.0,1222.6472068131945,68.0
3988187872032603905,2599.76167062,0.2698990078158539,-0.9307964211004377,32.665139366170294,5238,1711.0,1217.6186658235788,69.0
3784403294629753856,2521.81430468,0.21856477523635176,-0.17726106940104935,30.231404958677686,6050,1829.0,1197.7375722963066,70.0
4004410127575640832,2905.76386668,0.16846773570552737,-44.06172678340364,34.51676528599605,507,175.0,1186.7594400499108,71.0
4017110277719148289,2899.93302141,0.7966806613730175,0.0,56.74603174603175,252,143.0,1185.8614191116183,72.0
3891020560590657281,2856.30056379,1.1283990693781847,0.0,64.75972540045767,437,283.0,1184.110690316905,73.0
3939925275039085824,2378.8786707,0.4962663402709183,-0.278923996470532,36.23481781376518,5928,2148.0,1173.7473117448344,74.0
4033639786957934336,2848.14185731,0.4242831488773865,0.0,16.778523489932887,149,25.0,1145.2397325666498,75.0
4022641794255717633,2176.83382376,0.5647928571354929,-0.5594832487580708,43.52280237937872,6052,2634.0,1143.0075278370166,76.0
3981810242465907713,2836.47282999,0.24312566996795332,0.0,11.428571428571429,105,12.0,1138.1477839827046,77.0
4029422834086627072,2799.90254984,0.6789628806456156,0.0,37.254901960784316,102,38.0,1131.4156891923508,78.0
4030565764341697025,2789.87828996,0.7628110392311682,-0.032147921672229796,48.57142857142857,105,51.0,1130.9944450100552,79.0
3975304792994095360,2536.0810463,0.44235596847239517,-0.04849547326841852,42.65791632485644,2438,1040.0,1127.0967085755128,80.0
4030635536196756737,2581.61417484,0.3354565079339613,-0.13958217443319554,52.47295208655333,1294,679.0,1111.1408973056912,81.0
4031414524297538817,2726.79561774,0.5343539915173352,-0.3145626129714143,36.885245901639344,244,90.0,1107.2556024737833,82.0
4019895412775450368,2640.30025492,0.6598961606415716,0.0,42.38178633975482,571,242.0,1088.9944280841435,83.0
4027747397961573889,2638.21944996,0.18323332249615384,-5.2985158607407,45.0,460,207.0,1085.042749980749,84.0
4028427053699127040,2633.02381341,0.17465176245981923,-0.09298993432180125,29.75206611570248,121,36.0,1062.8123341158782,85.0
3943533600390906881,2361.42457205,0.739710086213901,-0.01424652277699645,54.80386583285958,1759,964.0,1052.1525150124362,86.0
4012994295026226176,2500.33664614,0.39685657252260725,-0.7777886641819736,40.03189792663477,627,251.0,1033.3600950130838,87.0
4034786679304751616,2521.07586938,0.7841524300230254,0.0,38.31775700934579,321,123.0,1028.629144882876,88.0
4035034554469394176,2517.32079973,0.36794359002639904,-0.5059045471465359,16.70886075949367,395,66.0,1016.9804751209067,89.0
4035430878731345664,2493.75041995,0.9477162836918821,0.0,48.31460674157304,89,43.0,1011.7474042134222,90.0
3975392755164484097,2330.27031414,0.0961064826380758,-inf,27.99343903772553,1829,512.0,988.9356454083368,91.0
3935808725185052672,2301.96412286,0.1266829552369391,-1.156264352257373,35.10204081632653,1715,602.0,988.0440621938365,92.0
3977234346014419201,2427.29283086,0.8017900439468197,0.0,39.75903614457831,83,33.0,982.4094765860997,93.0
3983074113875692800,2424.82951996,0.6779673689005898,0.0,32.55813953488372,43,14.0,978.046826101647,94.0
4029506971304830209,2413.6540000200002,0.24114033105036348,-0.001585016887516777,5.769230769230769,52,3.0,966.9877882611614,95.0
4008537296438699777,2330.8456453100002,0.38169115131988474,-inf,46.54205607476635,535,249.0,966.6611766843494,96.0
4023697433751327232,2408.22399998,0.3205547055215396,0.0,9.523809523809524,42,4.0,965.6905283084184,97.0
4037179073830813185,2331.43490998,0.6000145679753938,0.0,42.465753424657535,73,31.0,944.3471190473242,98.0
4041860229502600193,2327.33599982,0.7912227224673959,0.0,39.175257731958766,97,38.0,942.8068182911318,99.0
3993222640082269952,1884.46844302,0.3934408669838698,-0.4199211738993385,46.45286686103013,3087,1434.0,906.5959828403012,100.0
4023616625178799873,2087.77119301,0.5091048484026148,-0.0023495046120192153,40.991535671100365,827,339.0,877.3595157927408,101.0
4040843843196854529,2151.70406,0.6728962639815224,0.0,32.20338983050847,59,19.0,869.2241708452962,102.0
4032403303704824321,2060.57051952,0.9347927227003459,-0.8763798610289854,55.15695067264574,223,123.0,847.8400357593392,103.0
3944658614777849089,2074.44997996,0.8012537160069145,0.0,44.44444444444444,45,20.0,840.9092569876909,104.0
4021243448368889856,1498.1937579,0.3149358118609351,-1.2609706416207436,37.85123966942149,6050,2290.0,835.9422318374426,105.0
4014818740371615232,2013.64751009,0.1618792115198089,-0.7396794414190833,20.982986767485823,529,111.0,820.8041651529531,106.0
4031673021422897664,1984.71719999,0.47597223154863605,-0.15217979334845488,31.4410480349345,229,72.0,807.5178812724516,107.0
3930688517098515713,1947.24457347,0.10265443701691508,-0.8991870812790264,48.61111111111111,288,140.0,802.6508479413272,108.0
4000222729738650369,1803.6201332800001,0.46860585528300813,-0.6107246617347708,56.05427974947808,958,537.0,786.4994910184806,109.0
4037785885739608577,1934.5792352600001,0.5483935695775051,0.0,23.228346456692915,254,59.0,784.5418814662119,110.0
4037717032428033792,1897.3229995,0.6852146744883129,0.0,32.17665615141956,317,102.0,775.7700954326305,111.0
3991414786174551297,1787.98771569,0.3309268658433622,-inf,29.903536977491964,311,93.0,730.5750717312513,112.0
3910887259807777281,1803.30201001,0.33506966402637794,-0.3573145422920714,22.666666666666664,75,17.0,727.6546582365413,113.0
4013955990069013504,1690.02704985,0.8131326311746585,-4.912135152563195,65.92178770949721,358,236.0,713.0391172712519,114.0
4038768306117031680,1741.91425988,0.31465136372336566,0.0,22.0,100,22.0,703.460099361117,115.0
3949214983441029120,1317.57755896,0.39015772326900894,-0.6536730665953876,36.9757174392936,4530,1675.0,702.0432143888395,116.0
4004713168329653760,1667.19861,0.27755519970549997,0.0,7.4074074074074066,27,2.0,668.6441920413932,117.0
3919174299855478272,1456.3718076199998,0.07384881612401664,-1.0597447582798938,48.06629834254144,1267,609.0,653.0841373613454,118.0
4030708912786799105,1612.84376999,0.1841410262718431,0.0,3.3333333333333335,60,2.0,646.0594169705483,119.0
4037073643537925121,1540.4004996200001,0.4728140792832656,0.0,18.609865470852018,446,83.0,628.3240171659554,120.0
3865845304835489536,1406.06618669,0.5173533927686667,-0.0011435870223209799,51.13378684807256,882,451.0,617.908438063445,121.0
4029507714735307777,1537.89995998,0.1960417887395716,0.0,3.7735849056603774,53,2.0,616.173513509754,122.0
3998659472131949824,1449.32593976,0.5589164399583492,0.0,48.97959183673469,147,72.0,596.8939692033344,123.0
3956048468100538880,1373.56489,1.3223516055168498,0.0,71.42857142857143,28,20.0,566.1083757673695,124.0
3926423286576838657,1309.45995959,0.550666247907806,-0.5423807352680019,34.10041841004184,478,163.0,547.0692673923805,125.0
4031408429897920512,1351.26659997,0.22506094825576828,0.0,4.878048780487805,82,4.0,541.9497680285743,126.0
4030392204221219329,1347.75800996,0.32042570585604874,0.0,9.411764705882353,85,8.0,541.8816846369333,127.0
4039129759104249600,1264.28919972,0.8865812842036266,0.0,44.3609022556391,133,59.0,520.7538347243889,128.0
3937714876784951296,1117.5308932100002,0.19441031572173256,-inf,39.33463796477495,511,201.0,475.0376079716716,129.0
4039279455324236544,1038.80741926,1.1010723088609395,0.0,55.35168195718655,327,181.0,445.0236257880956,130.0
3952087967771302912,1032.6052598600002,0.4324389606553437,0.0,33.72093023255814,172,58.0,425.71602167870833,131.0
3819545518395756033,980.0631999599999,0.5774889268613856,-1.1102230246251565e-16,38.23529411764706,68,26.0,402.44558548558786,132.0
3923766029921022977,772.72903189,0.0888257881447279,-0.3546185908456343,28.51469420174742,1259,359.0,350.7211993327929,133.0
3977116548751698176,603.9805007599999,0.17022013628657442,-1.7803974283643589,28.078817733990146,1624,456.0,292.85902989168403,134.0
3672754654734989568,566.59765978,0.29623355813812274,-0.46078079475409683,44.303797468354425,474,210.0,256.5886934731123,135.0
3911997667197443328,605.72231024,0.17197416617982117,0.0,46.875,64,30.0,254.71551634585393,136.0
3826087012661391104,532.65697373,0.7917839866811399,-0.050347733561678765,58.333333333333336,108,63.0,231.266991354671,137.0
3946087913459823360,-40.66724167,0.10020123769596015,-11.186052604330293,31.71733771569433,6085,1930.0,183.10663124644765,138.0
3949329502284748801,425.96505788999997,0.13252496279531967,-0.2761719610563098,18.75,384,72.0,181.37578064483858,139.0
3914654298562589441,343.47044904999996,0.17481610970244404,-1.3328479030481641,41.40786749482402,483,200.0,165.72219795187553,140.0
3768170840939476993,243.66889897,0.8345165970973958,0.0,42.857142857142854,14,6.0,106.88934313855778,141.0
3786761687746711808,205.02139999,0.5274254754703113,-2.3182124312164802,45.1219512195122,82,37.0,94.89117788254354,142.0
3919965573764932864,0.0,0.0,0.0,0.0,1,0.0,0.0,143.5
4040382575336130560,0.0,0.0,0.0,0.0,76,0.0,0.0,143.5
